TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-04 17:28:02,1770226082609,ssdf.site/api/onboarding/complete,POST,,401,5dzh8-1770226082609-b0aa107182b3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/api/onboarding/complete,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,16,iad1,285,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV4RTGNQRG78STJZ50D7SP,dpaa2bIZDSAC,1
2026-02-04 17:28:02,1770226082609,ssdf.site/api/onboarding/complete,POST,,401,5dzh8-1770226082609-b0aa107182b3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,8,iad1,255,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV4RSV7Z5E2JNFTSF6RV6N,VTm0FWVcsfmF,1
2026-02-04 17:27:43,1770226063636,ssdf.site/api/onboarding/complete,POST,,401,ddvbt-1770226063636-7849533444d6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,9,iad1,255,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV468S7TJ80JKT41072DW8,VTm0FWVcsfmF,1
2026-02-04 17:27:43,1770226063636,ssdf.site/api/onboarding/complete,POST,,401,ddvbt-1770226063636-7849533444d6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/api/onboarding/complete,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,17,iad1,293,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV46A64Z33CRYN43KBG0D3,dpaa2bIZDSAC,1
2026-02-04 17:27:37,1770226057216,ssdf.site/api/onboarding/quiz,POST,,401,kdd56-1770226057216-4c4a03a8c2db,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/api/onboarding/quiz,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,82,iad1,293,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV403T0HWZDCV7ZTBGQGYG,dpaa2bIZDSAC,1
2026-02-04 17:27:37,1770226057216,ssdf.site/api/onboarding/quiz,POST,,401,kdd56-1770226057216-4c4a03a8c2db,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,13,iad1,253,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV400R5KD3G1Q2KE3WQ3EV,VTm0FWVcsfmF,1
2026-02-04 17:27:30,1770226050171,ssdf.site/onboarding/seller,GET,_rsc=1j8aj,,h4ct6-1770226050171-74d5bb33f28f,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,,,middleware,/_middleware,ssdf.site,,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,9,iad1,252,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3S40S4FKNNTWECZWCGJF,VTm0FWVcsfmF,1
2026-02-04 17:27:30,1770226050171,ssdf.site/onboarding/seller,GET,_rsc=1j8aj,,h4ct6-1770226050171-74d5bb33f28f,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,,,function,/onboarding/[role].rsc,ssdf.site,,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,21,iad1,255,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3S4TSV93PVJKWSNVWQ88,20AzjPbjfTgJ,1
2026-02-04 17:27:25,1770226045155,ssdf.site/onboarding/seller,GET,_rsc=p37cr&nxtProle=seller,200,dtn6l-1770226045155-0658afb2ef88,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/onboarding/[role].rsc,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,453,iad1,254,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3M89PCG5VRT1A3JF68DZ,20AzjPbjfTgJ,1
2026-02-04 17:27:25,1770226045155,ssdf.site/onboarding/seller,GET,_rsc=p37cr&nxtProle=seller,200,dtn6l-1770226045155-0658afb2ef88,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,7,iad1,252,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3M7MXWZTFNRACNY9CZ5H,VTm0FWVcsfmF,1
2026-02-04 17:27:25,1770226045145,ssdf.site/onboarding/buyer,GET,_rsc=p37cr&nxtProle=buyer,200,mw9td-1770226045145-bf1b19b60d1f,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/onboarding/[role].rsc,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,54,iad1,257,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3M7W4QT3N5FJZWHYVRCE,HepIHzAkdS3F,1
2026-02-04 17:27:25,1770226045145,ssdf.site/onboarding/buyer,GET,_rsc=p37cr&nxtProle=buyer,200,mw9td-1770226045145-bf1b19b60d1f,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,8,iad1,251,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3M6YMF150FJFJ0XH7C9X,VTm0FWVcsfmF,1
2026-02-04 17:27:24,1770226044661,ssdf.site/onboarding/seller,GET,_rsc=1r34m&nxtProle=seller,200,mw9td-1770226044661-a16ffbba5e69,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/onboarding/[role].rsc,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,11,iad1,253,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3KSH34TY3MB9AQXKSMAE,HepIHzAkdS3F,1
2026-02-04 17:27:24,1770226044661,ssdf.site/onboarding/seller,GET,_rsc=1r34m&nxtProle=seller,200,mw9td-1770226044661-a16ffbba5e69,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-baygohi7k-creodamos-projects.vercel.app,dpl_74PEKSmHevkmp8DuF6jJPSuKjgyE,9,iad1,251,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMV3KRH5RQY4VXVZXYJ8D1R,VTm0FWVcsfmF,1
