TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-02 05:30:18,1770010218792,ssdf.site/api/products,GET,search=&category=all,500,qwbl5-1770010217441-c11c4fb36a69,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",warning,production,main,MISS,function,/api/products,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,,,,,"MONGODB_URI not set, skipping database connection",prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,,,
2026-02-02 05:30:28,1770010228798,ssdf.site/api/products,GET,search=&category=all,500,qwbl5-1770010217441-c11c4fb36a69,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",error,production,main,MISS,function,/api/products,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,,,,,"Error fetching products: MongooseError: Operation `products.find()` buffering timed out after 10000ms
    at ignore-listed frames",prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,,,
2026-02-02 05:30:17,1770010217441,ssdf.site/api/products,GET,search=&category=all,500,qwbl5-1770010217441-c11c4fb36a69,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,22,iad1,261,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGED92ZCFWE4BH00ENEAXD9A,zjTTSGXYu1dA,1
2026-02-02 05:30:17,1770010217441,ssdf.site/api/products,GET,search=&category=all,500,qwbl5-1770010217441-c11c4fb36a69,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/products,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,11019,iad1,285,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGED9330HKB3A1DPZMMYS72Y,Yil1GlB7OHU5,1
2026-02-02 05:19:39,1770009579991,ssdf.site/api/onboarding/quiz,POST,,500,njtc9-1770009569949-4a9c4bad5e8e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",error,production,main,MISS,function,/api/onboarding/quiz,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,,,,,"MongooseError: Operation `users.updateOne()` buffering timed out after 10000ms
    at ignore-listed frames",prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,,,
2026-02-02 05:19:29,1770009569949,ssdf.site/api/onboarding/quiz,POST,,500,njtc9-1770009569949-4a9c4bad5e8e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,8,iad1,272,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGECNANAP38R7ER9XJ2JXHF9,sa68A7IysDbD,1
2026-02-02 05:19:29,1770009569949,ssdf.site/api/onboarding/quiz,POST,,500,njtc9-1770009569949-4a9c4bad5e8e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/onboarding/quiz,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,10007,iad1,276,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGECMV28QH4WRE4XHRDR4SRB,lEDAemlFzKeK,2
2026-02-02 05:19:31,1770009571248,ssdf.site/api/onboarding/quiz,POST,,500,fnkld-1770009561197-8ec446e2d303,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",error,production,main,MISS,function,/api/onboarding/quiz,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,,,,,"MongooseError: Operation `users.updateOne()` buffering timed out after 10000ms
    at ignore-listed frames",prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,,,
2026-02-02 05:19:21,1770009561197,ssdf.site/api/onboarding/quiz,POST,,500,fnkld-1770009561197-8ec446e2d303,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,8,iad1,272,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGECN23RKKW8SF3ZF14001Y3,sa68A7IysDbD,1
2026-02-02 05:19:21,1770009561197,ssdf.site/api/onboarding/quiz,POST,,500,fnkld-1770009561197-8ec446e2d303,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/onboarding/quiz,ssdf.site,ssdf.site,dpl_5RdcYpUL6Pv7gSJRLeEhwNYbCTeH,10011,iad1,276,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGECMV28QH4WRE4XHRDR4SRB,lEDAemlFzKeK,2
